,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,code,if_trade,category,fenhong,peigu,peigujia,songzhuangu,preclose
18,2.749,2.753,2.795,2.716,351273.0,96759328.0,2021,3,22,15,0,2021-03-22 15:00,512010,1,0,0,0,0,0,2.737
19,2.75,2.753,2.785,2.713,298691.0,81979192.0,2021,3,23,15,0,2021-03-23 15:00,512010,1,0,0,0,0,0,2.753
20,2.735,2.738,2.778,2.721,292562.0,80442704.0,2021,3,24,15,0,2021-03-24 15:00,512010,1,0,0,0,0,0,2.753
21,2.707,2.769,2.777,2.694,386118.0,106103008.0,2021,3,25,15,0,2021-03-25 15:00,512010,1,0,0,0,0,0,2.738
22,2.783,2.88,2.883,2.782,681704.0,193813488.0,2021,3,26,15,0,2021-03-26 15:00,512010,1,0,0,0,0,0,2.769
23,2.873,2.861,2.895,2.836,420926.0,120702264.0,2021,3,29,15,0,2021-03-29 15:00,512010,1,0,0,0,0,0,2.88
24,2.865,2.909,2.937,2.85,395091.0,114720320.0,2021,3,30,15,0,2021-03-30 15:00,512010,1,0,0,0,0,0,2.861
25,2.904,2.888,2.904,2.851,348763.0,100279624.0,2021,3,31,15,0,2021-03-31 15:00,512010,1,0,0,0,0,0,2.909
26,2.888,2.946,2.956,2.888,494421.0,144968704.0,2021,4,1,15,0,2021-04-01 15:00,512010,1,0,0,0,0,0,2.888
27,2.964,2.968,2.99,2.937,496544.0,147054768.0,2021,4,2,15,0,2021-04-02 15:00,512010,1,0,0,0,0,0,2.946
28,2.967,2.918,2.968,2.907,311759.0,91218416.0,2021,4,6,15,0,2021-04-06 15:00,512010,1,0,0,0,0,0,2.968
29,2.907,2.902,2.919,2.86,263390.0,76065040.0,2021,4,7,15,0,2021-04-07 15:00,512010,1,0,0,0,0,0,2.918
30,2.893,2.96,2.963,2.87,384381.0,112872408.0,2021,4,8,15,0,2021-04-08 15:00,512010,1,0,0,0,0,0,2.902
31,2.952,2.905,2.959,2.89,341471.0,99497288.0,2021,4,9,15,0,2021-04-09 15:00,512010,1,0,0,0,0,0,2.96
32,2.9,2.822,2.92,2.81,443536.0,126263856.0,2021,4,12,15,0,2021-04-12 15:00,512010,1,0,0,0,0,0,2.905
33,2.809,2.849,2.88,2.805,451991.0,129047696.0,2021,4,13,15,0,2021-04-13 15:00,512010,1,0,0,0,0,0,2.822
34,2.85,2.849,2.88,2.8,555719.0,157714400.0,2021,4,14,15,0,2021-04-14 15:00,512010,1,0,0,0,0,0,2.849
35,2.838,2.825,2.852,2.793,367605.0,103858664.0,2021,4,15,15,0,2021-04-15 15:00,512010,1,0,0,0,0,0,2.849
36,2.842,2.809,2.843,2.78,487402.0,136747840.0,2021,4,16,15,0,2021-04-16 15:00,512010,1,0,0,0,0,0,2.825
37,2.817,2.893,2.894,2.786,538282.0,154016352.0,2021,4,19,15,0,2021-04-19 15:00,512010,1,0,0,0,0,0,2.809
38,2.892,2.9,2.926,2.857,386273.0,111926408.0,2021,4,20,15,0,2021-04-20 15:00,512010,1,0,0,0,0,0,2.893
39,2.88,2.963,2.965,2.877,428783.0,125652704.0,2021,4,21,15,0,2021-04-21 15:00,512010,1,0,0,0,0,0,2.9
40,2.964,2.964,2.977,2.937,671233.0,198656384.0,2021,4,22,15,0,2021-04-22 15:00,512010,1,0,0,0,0,0,2.963
41,2.962,3.032,3.053,2.956,535124.0,161701744.0,2021,4,23,15,0,2021-04-23 15:00,512010,1,0,0,0,0,0,2.964
42,3.059,3.018,3.119,3.014,613760.0,188534528.0,2021,4,26,15,0,2021-04-26 15:00,512010,1,0,0,0,0,0,3.032
43,3.003,3.098,3.098,2.99,557803.0,170895824.0,2021,4,27,15,0,2021-04-27 15:00,512010,1,0,0,0,0,0,3.018
44,3.095,3.162,3.162,3.079,440987.0,137815312.0,2021,4,28,15,0,2021-04-28 15:00,512010,1,0,0,0,0,0,3.098
45,3.157,3.15,3.171,3.104,436155.0,137048944.0,2021,4,29,15,0,2021-04-29 15:00,512010,1,0,0,0,0,0,3.162
46,3.145,3.202,3.229,3.14,511377.0,163459328.0,2021,4,30,15,0,2021-04-30 15:00,512010,1,0,0,0,0,0,3.15
47,3.153,3.061,3.17,3.022,783694.0,240832384.0,2021,5,6,15,0,2021-05-06 15:00,512010,1,0,0,0,0,0,3.2019999999999995
48,3.061,2.985,3.094,2.983,559278.0,169636160.0,2021,5,7,15,0,2021-05-07 15:00,512010,1,0,0,0,0,0,3.061
49,2.997,3.044,3.073,2.997,397638.0,120790160.0,2021,5,10,15,0,2021-05-10 15:00,512010,1,0,0,0,0,0,2.985
50,3.035,3.103,3.105,2.99,479775.0,146875344.0,2021,5,11,15,0,2021-05-11 15:00,512010,1,0,0,0,0,0,3.044
51,3.099,3.149,3.155,3.073,469945.0,146459968.0,2021,5,12,15,0,2021-05-12 15:00,512010,1,0,0,0,0,0,3.103
52,3.13,3.167,3.182,3.111,529444.0,167054496.0,2021,5,13,15,0,2021-05-13 15:00,512010,1,0,0,0,0,0,3.149
53,3.183,3.242,3.28,3.158,627022.0,202746912.0,2021,5,14,15,0,2021-05-14 15:00,512010,1,0,0,0,0,0,3.167
54,3.261,3.311,3.336,3.261,581862.0,192882368.0,2021,5,17,15,0,2021-05-17 15:00,512010,1,0,0,0,0,0,3.242
