date,open,close,high,low,volume
2020-12-31,3261.75,3282.88,3321.88,3230.87,924503
2021-01-04,3243.87,3162.6,3243.87,3136.6,1554216
2021-01-05,3130.1,3092.72,3143.1,3032.58,1821352
2021-01-06,3078.09,3318.63,3318.63,3065.09,1934945
2021-01-07,3312.13,3373.89,3386.89,3265.0,1584185
2021-01-08,3373.89,3365.76,3406.4,3278.0,1195473
2021-01-11,3390.14,3451.9,3494.16,3390.14,1790457
2021-01-12,3453.53,3552.67,3552.67,3419.4,1288166
2021-01-13,3552.67,3503.91,3554.3,3455.15,1049120
2021-01-14,3500.66,3417.77,3534.79,3382.02,1130156
2021-01-15,3552.67,3552.67,3707.07,3523.42,2480689
2021-01-18,3585.18,3828.97,3841.97,3585.18,2157302
2021-01-19,3798.09,3770.46,3851.72,3723.32,1242088
2021-01-20,3739.58,3791.59,3872.85,3734.7,1280793
2021-01-21,3796.46,3752.58,3845.22,3739.58,944779
2021-01-22,3752.58,3720.07,3752.58,3635.56,924434
2021-01-25,3669.69,3794.84,3812.71,3622.56,1028365
2021-01-26,3763.96,3775.33,3929.73,3763.96,1126721
2021-01-27,3765.58,3890.73,3954.11,3765.58,1294153
2021-01-28,3841.97,3846.85,3906.98,3788.34,857477
2021-01-29,3846.85,3892.35,3965.49,3830.59,1240258
2021-02-01,3877.73,4129.64,4201.16,3828.97,1475239
2021-02-02,3939.49,3923.23,4056.51,3863.1,2416169
2021-02-03,3955.74,4194.65,4232.04,3939.49,1923272
2021-02-04,4069.51,4137.77,4241.79,4046.75,1255248
2021-02-05,4137.77,4191.4,4253.16,4084.14,1015576
2021-02-08,4186.53,4170.28,4186.53,4056.51,1084265
2021-02-09,4168.65,4134.52,4176.78,4067.88,942094
2021-02-10,4137.77,4011.0,4196.28,3939.49,1918867
2021-02-18,4040.25,4089.01,4129.64,3955.74,1505231
2021-02-19,4033.75,4015.87,4071.13,3970.37,922583
2021-02-22,4007.75,3776.96,4007.75,3757.46,1956842
2021-02-23,3776.96,3703.82,3825.72,3685.94,1870460
2021-02-24,3759.08,3741.2,3760.71,3643.69,1428500
2021-02-25,3780.21,3729.83,3806.21,3663.19,1593403
2021-02-26,3650.19,3614.43,3708.7,3586.8,1124977
2021-03-01,3640.44,3625.81,3663.19,3581.93,1125387
2021-03-02,3653.44,3658.31,3739.58,3594.93,1473425
2021-03-03,3646.94,3879.35,3890.73,3627.43,1919635
2021-03-04,3840.34,3864.72,3957.36,3820.84,1213579
2021-03-05,3828.97,3770.46,3874.48,3692.44,880171
2021-03-08,3786.71,3650.19,3827.34,3630.68,993774
2021-03-09,3663.19,3528.29,3702.2,3484.41,1361895
2021-03-10,3526.67,3455.15,3538.04,3435.65,1149417
2021-03-11,3484.41,3596.55,3614.43,3481.16,1048659
2021-03-12,3612.81,3630.68,3666.44,3585.18,697201
2021-03-15,3617.68,3650.19,3734.7,3570.55,958749
2021-03-16,3650.19,3659.94,3733.08,3596.55,939684
2021-03-17,3625.81,3585.18,3642.06,3536.42,821489
2021-03-18,3601.43,3671.32,3671.32,3552.67,691610
2021-03-19,3638.81,3466.53,3658.31,3450.28,1525622
2021-03-22,3479.53,3642.06,3642.06,3476.28,1451190
2021-03-23,3645.31,3590.05,3658.31,3546.17,682903
2021-03-24,3586.8,3476.28,3598.18,3463.28,850085
2021-03-25,3484.41,3512.04,3525.04,3455.15,492666
2021-03-26,3526.67,3575.42,3617.68,3513.66,822108
2021-03-29,3598.18,3632.31,3658.31,3585.18,785667
2021-03-30,3614.43,3703.82,3703.82,3586.8,738655
2021-03-31,3677.82,3716.82,3726.58,3650.19,777028
2021-04-01,3728.2,3679.44,3733.08,3633.93,544449
2021-04-02,3666.44,3633.93,3671.32,3611.18,581084
2021-04-06,3642.06,3663.19,3729.83,3635.56,401103
2021-04-07,3695.69,3656.69,3703.82,3603.05,517605
2021-04-08,3627.43,3643.69,3671.32,3606.3,383030
2021-04-09,3668.07,3601.43,3669.69,3565.67,398960
2021-04-12,3635.56,3503.91,3635.56,3492.54,594743
2021-04-13,3507.16,3516.91,3533.17,3486.03,499904
2021-04-14,3518.54,3499.04,3542.92,3458.4,537438
2021-04-15,3513.66,3448.65,3515.29,3403.15,735865
2021-04-16,3448.65,3432.4,3460.03,3359.26,729998
2021-04-19,3395.02,3577.05,3591.68,3375.52,1112283
2021-04-20,3565.67,3664.81,3707.07,3539.67,834773
2021-04-21,3763.96,3879.35,3908.61,3762.33,1597100
2021-04-22,3908.61,3874.48,3915.11,3841.97,829694
2021-04-23,3929.73,3924.86,3983.37,3889.1,823230
2021-04-26,4019.12,3867.97,4077.63,3861.47,872418
2021-04-27,3869.6,3867.97,3908.61,3854.97,470431
2021-04-28,3924.86,3934.61,3950.86,3841.97,593838
2021-04-29,3932.99,3973.62,3993.12,3895.6,614837
2021-04-30,3934.61,3924.86,3957.36,3879.35,561981
2021-05-06,3893.98,3958.99,3991.49,3893.98,500295
2021-05-07,3986.62,4048.38,4089.01,3941.11,802214
2021-05-10,4040.25,4017.5,4046.75,3880.98,661439
2021-05-11,3978.49,3963.87,3999.62,3887.48,497223
2021-05-12,3924.86,3967.12,3981.74,3858.22,533265
2021-05-13,3962.24,3889.1,3973.62,3851.72,549653
2021-05-14,3929.73,3958.99,3976.87,3841.97,563785
2021-05-17,3931.36,4004.5,4040.25,3898.85,527565
2021-05-18,4045.13,4053.26,4087.39,3971.99,395415
2021-05-19,4040.25,4004.5,4090.64,3991.49,429420
2021-05-20,3973.62,4040.25,4043.5,3950.86,405788
2021-05-21,4050.0,3986.62,4084.14,3911.86,539336
2021-05-24,3984.99,3984.99,4004.5,3937.86,343936
2021-05-25,3994.75,4167.02,4188.15,3980.12,972375
2021-05-26,4173.53,4233.66,4251.54,4150.77,919264
2021-05-27,4217.41,4197.9,4258.04,4154.02,504091
2021-05-28,4180.03,4150.77,4184.9,4095.51,492401
2021-05-31,4123.14,4102.01,4155.65,4054.88,515351
2021-06-01,4102.01,4056.51,4110.14,3988.24,625018
2021-06-02,4051.63,4051.63,4056.51,3968.74,497527
2021-06-03,4024.0,4032.13,4092.26,4017.5,400901
2021-06-04,4067.88,4157.27,4225.53,4037.0,756739
2021-06-07,4147.52,4118.27,4147.52,4058.13,447914
