datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count,volume
2021-12-07 14:55:00,3590.54,3594.03,3594.48,3590.52,122809520.0,12280954880.0,2021,12,7,14,55,2021-12-07 14:55,791,1206,122809520.0
2021-12-07 15:00:00,3593.76,3595.09,3595.78,3593.76,117140016.0,11714002944.0,2021,12,7,15,0,2021-12-07 15:00,820,1167,117140016.0
2021-12-08 09:35:00,3602.82,3595.25,3603.31,3595.25,392490080.0,39249010688.0,2021,12,8,9,35,2021-12-08 09:35,871,1021,392490080.0
2021-12-08 09:40:00,3595.82,3596.06,3596.19,3591.99,230251168.0,23025119232.0,2021,12,8,9,40,2021-12-08 09:40,884,1051,230251168.0
2021-12-08 09:45:00,3595.99,3598.75,3600.8,3595.01,205221488.0,20522151936.0,2021,12,8,9,45,2021-12-08 09:45,991,931,205221488.0
2021-12-08 09:50:00,3599.19,3599.49,3601.06,3598.26,181550992.0,18155102208.0,2021,12,8,9,50,2021-12-08 09:50,1001,908,181550992.0
2021-12-08 09:55:00,3599.52,3597.58,3599.88,3596.61,160497968.0,16049799168.0,2021,12,8,9,55,2021-12-08 09:55,1000,941,160497968.0
2021-12-08 10:00:00,3597.23,3598.63,3600.68,3596.2,142334912.0,14233493504.0,2021,12,8,10,0,2021-12-08 10:00,1010,939,142334912.0
2021-12-08 10:05:00,3598.82,3599.25,3600.54,3598.46,135703072.0,13570310144.0,2021,12,8,10,5,2021-12-08 10:05,1061,882,135703072.0
2021-12-08 10:10:00,3599.59,3601.8,3602.12,3598.62,113693952.0,11369398272.0,2021,12,8,10,10,2021-12-08 10:10,1143,810,113693952.0
2021-12-08 10:15:00,3602.08,3600.71,3602.15,3599.39,110145832.0,11014586368.0,2021,12,8,10,15,2021-12-08 10:15,1139,829,110145832.0
2021-12-08 10:20:00,3600.75,3605.2,3605.22,3600.66,100633288.0,10063331328.0,2021,12,8,10,20,2021-12-08 10:20,1190,757,100633288.0
2021-12-08 10:25:00,3604.76,3606.41,3606.44,3603.96,105364168.0,10536419328.0,2021,12,8,10,25,2021-12-08 10:25,1217,730,105364168.0
2021-12-08 10:30:00,3605.94,3609.28,3609.59,3605.7,101879616.0,10187964416.0,2021,12,8,10,30,2021-12-08 10:30,1260,680,101879616.0
2021-12-08 10:35:00,3608.74,3611.47,3611.7,3607.93,103617136.0,10361716736.0,2021,12,8,10,35,2021-12-08 10:35,1290,654,103617136.0
2021-12-08 10:40:00,3611.65,3612.67,3613.65,3611.65,95022912.0,9502294016.0,2021,12,8,10,40,2021-12-08 10:40,1293,657,95022912.0
2021-12-08 10:45:00,3612.41,3619.2,3619.2,3612.41,97319456.0,9731948544.0,2021,12,8,10,45,2021-12-08 10:45,1339,611,97319456.0
2021-12-08 10:50:00,3619.72,3622.48,3624.25,3618.92,105770320.0,10577035264.0,2021,12,8,10,50,2021-12-08 10:50,1368,565,105770320.0
2021-12-08 10:55:00,3622.96,3620.18,3623.53,3619.66,90130816.0,9013084160.0,2021,12,8,10,55,2021-12-08 10:55,1330,621,90130816.0
2021-12-08 11:00:00,3620.78,3622.02,3623.85,3620.06,76571088.0,7657111552.0,2021,12,8,11,0,2021-12-08 11:00,1354,591,76571088.0
2021-12-08 11:05:00,3622.29,3622.53,3622.84,3620.16,82294672.0,8229470208.0,2021,12,8,11,5,2021-12-08 11:05,1339,592,82294672.0
2021-12-08 11:10:00,3623.54,3623.01,3623.54,3621.34,71162896.0,7116292096.0,2021,12,8,11,10,2021-12-08 11:10,1355,603,71162896.0
2021-12-08 11:15:00,3623.33,3627.04,3628.04,3623.33,78524880.0,7852490752.0,2021,12,8,11,15,2021-12-08 11:15,1388,553,78524880.0
2021-12-08 11:20:00,3627.54,3624.84,3628.75,3624.07,68794088.0,6879412224.0,2021,12,8,11,20,2021-12-08 11:20,1362,607,68794088.0
2021-12-08 11:25:00,3624.67,3624.85,3625.21,3622.27,63422764.0,6342279168.0,2021,12,8,11,25,2021-12-08 11:25,1338,610,63422764.0
2021-12-08 11:30:00,3625.1,3626.11,3626.63,3624.23,61903312.0,6190333952.0,2021,12,8,11,30,2021-12-08 11:30,1383,559,61903312.0
2021-12-08 13:05:00,3626.61,3625.87,3628.55,3625.79,108804152.0,10880417792.0,2021,12,8,13,5,2021-12-08 13:05,1358,595,108804152.0
2021-12-08 13:10:00,3625.98,3624.88,3625.98,3622.41,73711920.0,7371194368.0,2021,12,8,13,10,2021-12-08 13:10,1347,618,73711920.0
2021-12-08 13:15:00,3625.02,3625.01,3626.06,3624.16,68928776.0,6892879872.0,2021,12,8,13,15,2021-12-08 13:15,1348,610,68928776.0
2021-12-08 13:20:00,3624.92,3620.58,3624.92,3620.58,74266352.0,7426637824.0,2021,12,8,13,20,2021-12-08 13:20,1275,683,74266352.0
2021-12-08 13:25:00,3620.49,3620.08,3620.82,3619.37,71932280.0,7193231360.0,2021,12,8,13,25,2021-12-08 13:25,1260,695,71932280.0
2021-12-08 13:30:00,3620.3,3622.39,3622.85,3620.18,62208048.0,6220808192.0,2021,12,8,13,30,2021-12-08 13:30,1265,686,62208048.0
2021-12-08 13:35:00,3622.16,3624.65,3624.65,3621.63,67128496.0,6712852480.0,2021,12,8,13,35,2021-12-08 13:35,1278,667,67128496.0
2021-12-08 13:40:00,3624.64,3626.2,3626.77,3624.51,67530552.0,6753058816.0,2021,12,8,13,40,2021-12-08 13:40,1272,667,67530552.0
2021-12-08 13:45:00,3626.31,3626.64,3627.76,3625.57,63767808.0,6376783872.0,2021,12,8,13,45,2021-12-08 13:45,1296,659,63767808.0
2021-12-08 13:50:00,3626.09,3627.26,3627.93,3626.03,67650160.0,6765019136.0,2021,12,8,13,50,2021-12-08 13:50,1295,654,67650160.0
2021-12-08 13:55:00,3626.97,3627.81,3627.9,3626.05,61656568.0,6165659648.0,2021,12,8,13,55,2021-12-08 13:55,1299,655,61656568.0
2021-12-08 14:00:00,3627.51,3628.45,3628.66,3626.47,59821884.0,5982191616.0,2021,12,8,14,0,2021-12-08 14:00,1313,646,59821884.0
2021-12-08 14:05:00,3628.25,3628.24,3628.95,3627.12,66273252.0,6627328000.0,2021,12,8,14,5,2021-12-08 14:05,1297,661,66273252.0
2021-12-08 14:10:00,3628.33,3626.36,3628.33,3625.64,64710872.0,6471090176.0,2021,12,8,14,10,2021-12-08 14:10,1271,672,64710872.0
2021-12-08 14:15:00,3625.91,3628.26,3628.26,3625.53,60485768.0,6048579584.0,2021,12,8,14,15,2021-12-08 14:15,1286,666,60485768.0
2021-12-08 14:20:00,3627.98,3630.69,3631.17,3627.98,66351892.0,6635192320.0,2021,12,8,14,20,2021-12-08 14:20,1312,634,66351892.0
2021-12-08 14:25:00,3630.8,3631.77,3631.78,3629.98,66571772.0,6657179648.0,2021,12,8,14,25,2021-12-08 14:25,1337,634,66571772.0
2021-12-08 14:30:00,3631.44,3632.91,3634.25,3631.36,78093656.0,7809368064.0,2021,12,8,14,30,2021-12-08 14:30,1344,615,78093656.0
2021-12-08 14:35:00,3633.37,3635.12,3636.32,3632.56,92867760.0,9286778880.0,2021,12,8,14,35,2021-12-08 14:35,1364,604,92867760.0
2021-12-08 14:40:00,3634.88,3634.79,3636.15,3634.46,84739984.0,8474001408.0,2021,12,8,14,40,2021-12-08 14:40,1370,598,84739984.0
2021-12-08 14:45:00,3634.55,3634.57,3635.44,3633.76,92951976.0,9295200256.0,2021,12,8,14,45,2021-12-08 14:45,1370,581,92951976.0
2021-12-08 14:50:00,3634.26,3636.29,3636.29,3633.75,108460080.0,10846011392.0,2021,12,8,14,50,2021-12-08 14:50,1391,577,108460080.0
2021-12-08 14:55:00,3636.34,3635.8,3636.72,3635.25,133441752.0,13344178176.0,2021,12,8,14,55,2021-12-08 14:55,1393,567,133441752.0
2021-12-08 15:00:00,3636.08,3637.57,3637.72,3636.07,123685424.0,12368543744.0,2021,12,8,15,0,2021-12-08 15:00,1420,547,123685424.0
2021-12-09 09:35:00,3641.16,3641.68,3643.68,3638.7,387819456.0,38781947904.0,2021,12,9,9,35,2021-12-09 09:35,841,1050,387819456.0
2021-12-09 09:40:00,3641.96,3640.35,3642.95,3639.02,245902592.0,24590262272.0,2021,12,9,9,40,2021-12-09 09:40,838,1084,245902592.0
2021-12-09 09:45:00,3640.53,3644.22,3644.34,3639.29,224069888.0,22406991872.0,2021,12,9,9,45,2021-12-09 09:45,985,925,224069888.0
2021-12-09 09:50:00,3644.35,3642.7,3644.35,3640.34,194302416.0,19430244352.0,2021,12,9,9,50,2021-12-09 09:50,1015,935,194302416.0
2021-12-09 09:55:00,3643.39,3642.1,3643.99,3641.63,178248304.0,17824833536.0,2021,12,9,9,55,2021-12-09 09:55,1049,889,178248304.0
2021-12-09 10:00:00,3642.76,3648.71,3648.71,3642.69,166658752.0,16665878528.0,2021,12,9,10,0,2021-12-09 10:00,1128,804,166658752.0
2021-12-09 10:05:00,3648.82,3650.78,3651.83,3647.35,173125600.0,17312563200.0,2021,12,9,10,5,2021-12-09 10:05,1160,786,173125600.0
2021-12-09 10:10:00,3650.77,3652.01,3656.79,3650.77,158593808.0,15859384320.0,2021,12,9,10,10,2021-12-09 10:10,1166,769,158593808.0
2021-12-09 10:15:00,3651.73,3651.37,3653.87,3649.89,130967928.0,13096796160.0,2021,12,9,10,15,2021-12-09 10:15,1113,830,130967928.0
2021-12-09 10:20:00,3651.21,3653.02,3653.15,3649.79,121516984.0,12151701504.0,2021,12,9,10,20,2021-12-09 10:20,1135,824,121516984.0
2021-12-09 10:25:00,3653.37,3657.25,3657.47,3650.98,128541464.0,12854149120.0,2021,12,9,10,25,2021-12-09 10:25,1145,819,128541464.0
2021-12-09 10:30:00,3657.62,3662.61,3662.78,3656.36,124794936.0,12479496192.0,2021,12,9,10,30,2021-12-09 10:30,1143,812,124794936.0
2021-12-09 10:35:00,3663.14,3659.21,3663.14,3656.66,128995624.0,12899565568.0,2021,12,9,10,35,2021-12-09 10:35,1108,852,128995624.0
2021-12-09 10:40:00,3659.84,3659.0,3662.18,3658.24,100080000.0,10008002560.0,2021,12,9,10,40,2021-12-09 10:40,1118,836,100080000.0
2021-12-09 10:45:00,3659.0,3662.32,3664.33,3659.0,97089424.0,9708945408.0,2021,12,9,10,45,2021-12-09 10:45,1146,816,97089424.0
2021-12-09 10:50:00,3662.62,3668.62,3668.87,3662.21,101855208.0,10185523200.0,2021,12,9,10,50,2021-12-09 10:50,1174,784,101855208.0
2021-12-09 10:55:00,3668.2,3668.56,3669.71,3665.97,97531304.0,9753133056.0,2021,12,9,10,55,2021-12-09 10:55,1159,807,97531304.0
2021-12-09 11:00:00,3668.35,3677.36,3677.36,3667.21,113082008.0,11308204032.0,2021,12,9,11,0,2021-12-09 11:00,1182,797,113082008.0
2021-12-09 11:05:00,3676.71,3672.35,3677.42,3672.09,103638928.0,10363895808.0,2021,12,9,11,5,2021-12-09 11:05,1191,786,103638928.0
2021-12-09 11:10:00,3672.57,3668.64,3672.57,3667.85,91855888.0,9185591296.0,2021,12,9,11,10,2021-12-09 11:10,1158,813,91855888.0
2021-12-09 11:15:00,3668.68,3677.72,3678.0,3668.68,95903056.0,9590308864.0,2021,12,9,11,15,2021-12-09 11:15,1246,725,95903056.0
2021-12-09 11:20:00,3677.99,3680.56,3680.87,3676.44,100726512.0,10072653824.0,2021,12,9,11,20,2021-12-09 11:20,1248,729,100726512.0
2021-12-09 11:25:00,3680.44,3674.04,3680.44,3674.04,86934784.0,8693481472.0,2021,12,9,11,25,2021-12-09 11:25,1197,780,86934784.0
2021-12-09 11:30:00,3673.42,3675.04,3676.07,3672.61,71892960.0,7189299200.0,2021,12,9,11,30,2021-12-09 11:30,1265,710,71892960.0
2021-12-09 13:05:00,3674.83,3678.47,3678.79,3674.37,121136064.0,12113608704.0,2021,12,9,13,5,2021-12-09 13:05,1250,735,121136064.0
